address,rent,size,bedrooms
" Samne Ghat, Varanasi",14000,750,2
" Pandeypur, Varanasi",9800,2300,2
" Ashok Nagar Colony, Varanasi",15000,1800,3
" Sarnath, Varanasi",20000,1495,3
" Sarnath, Varanasi",20000,1540,3
" Sunderpur, Varanasi",21000,1485,3
" Paharia, Varanasi",48000,1504,3
" Shivpur , Varanasi",14000,1096,2
" Ashapur, Varanasi",17000,1045,2
" Meerapur Basahi, Varanasi",12000,950,2
" Paharia, Varanasi",15000,1298,3
" Sarnath, Varanasi",12000,1100,2
" Lathiya, Varanasi",10000,1800,3
" Vishwanathpuram Colony, Varanasi",15000,750,2
" Awaleshpur Chitaipur, Varanasi",8000,500,2
" chitaipur awaleshpur, Varanasi",8000,500,2
" Mohansarai, Varanasi",10000,350,1
" Pandeypur, Varanasi",70000,2100,2
" Jaitpura, Varanasi",13000,1080,2
" Soyepur, Varanasi",8000,1360,3
" Jalalipatti, Varanasi",7000,628,2
" Chitaipur, Varanasi",12000,700,2
" Brij Enclave Colony, Varanasi",25000,1200,2
" Kandawa, Varanasi",15500,1150,Plot/Land
" Ashok Nagar, Varanasi",13000,425,2
